Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38578099,183더1715,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38548628,108거1621,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/789,370원"
38452993,100루3330,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38101788,157수2427,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회842,859원",없음
38070823,341두5451,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
35572276,297루1702,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회624,440원",없음
38176743,168러8624,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38443440,368러7669,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38498950,66오8711,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회9,090,158원","3회/11,325,923원"
37788455,71고4822,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38503156,204우9456,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38122585,353고7991,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,318,987원","1회/426,579원"
38539029,143고8810,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,184,649원",없음
37264348,61모7482,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,144,862원","4회/3,363,070원"
38212599,15구6301,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회6,462,054원","3회/2,155,848원"
38450662,169소2641,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38347447,22서5242,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,927,000원","1회/150,000원"
38425494,91나0460,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회5,087,382원","7회/8,378,473원"
38609761,110모2304,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38269638,137노3549,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회741,500원",없음
37874807,245구3089,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38375309,367마9726,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38389553,95우8212,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,442,830원","2회/2,421,260원"
38620905,98러3283,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/666,229원"
38524258,111저1288,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38352469,18마3099,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,752,817원","1회/437,298원"
